alignment	phase	planet	operation	row	slot	character_name	baseId
DS	2	Geonosis	1	3	4	Imperial Probe Droid	IMPERIALPROBEDROID
DS	2	Geonosis	1	3	5	HK-47	HK47
DS	2	Geonosis	2	1	1	Maul	MAULS7
DS	2	Geonosis	2	1	2	Scythe	SCYTHE
DS	2	Geonosis	2	1	3	Darth Revan	DARTHREVAN
DS	2	Geonosis	2	1	4	Darth Talon	DARTHTALON
DS	2	Geonosis	2	1	5	TIE Reaper	TIEREAPER
DS	2	Geonosis	2	2	1	Boba Fett, Scion of Jango	BOBAFETTSCION
DS	2	Geonosis	2	2	2	Darth Malgus	DARTHMALGUS
DS	2	Geonosis	2	2	3	Grand Admiral Thrawn	GRANDADMIRALTHRAWN
DS	2	Geonosis	2	2	4	Dengar	DENGAR
DS	2	Geonosis	2	2	5	Droideka	DROIDEKA
DS	2	Geonosis	2	3	1	Supreme Leader Kylo Ren	SUPREMELEADERKYLOREN
DS	2	Geonosis	2	3	2	Boba Fett, Scion of Jango	BOBAFETTSCION
DS	2	Geonosis	2	3	3	Darth Malak	DARTHMALAK
DS	2	Geonosis	2	3	4	Kylo Ren (Unmasked)	KYLORENUNMASKED
DS	2	Geonosis	2	3	5	B2 Super Battle Droid	B2SUPERBATTLEDROID
DS	2	Geonosis	3	1	1	Darth Malgus	DARTHMALGUS
DS	2	Geonosis	3	1	2	Boba Fett, Scion of Jango	BOBAFETTSCION
DS	2	Geonosis	3	1	3	Chimaera	CAPITALCHIMAERA
DS	2	Geonosis	3	1	4	Grand Admiral Thrawn	GRANDADMIRALTHRAWN
DS	2	Geonosis	3	1	5	Asajj Ventress	ASAJVENTRESS
DS	2	Geonosis	3	2	1	Scythe	SCYTHE
DS	2	Geonosis	3	2	2	TIE/IN Interceptor Prototype	TIEINTERCEPTOR
DS	2	Geonosis	3	2	3	Emperor Palpatine	EMPERORPALPATINE
DS	2	Geonosis	3	2	4	Darth Revan	DARTHREVAN
DS	2	Geonosis	3	2	5	First Order Officer	FIRSTORDEROFFICERMALE
DS	2	Geonosis	3	3	1	Supreme Leader Kylo Ren	SUPREMELEADERKYLOREN
DS	2	Geonosis	3	3	2	TIE/IN Interceptor Prototype	TIEINTERCEPTOR
DS	2	Geonosis	3	3	3	Darth Malak	DARTHMALAK
DS	2	Geonosis	3	3	4	Darth Revan	DARTHREVAN
DS	2	Geonosis	3	3	5	General Veers	VEERS
DS	2	Geonosis	4	1	1	Grand Inquisitor	GRANDINQUISITOR
DS	2	Geonosis	4	1	2	TIE/IN Interceptor Prototype	TIEINTERCEPTOR
DS	2	Geonosis	4	1	3	Darth Revan	DARTHREVAN
DS	2	Geonosis	4	1	4	General Grievous	GRIEVOUS
DS	2	Geonosis	4	1	5	TIE Echelon	FIRSTORDERTIEECHELON
DS	2	Geonosis	4	2	1	Grand Inquisitor	GRANDINQUISITOR
DS	2	Geonosis	4	2	2	Darth Malgus	DARTHMALGUS
DS	2	Geonosis	4	2	3	Chimaera	CAPITALCHIMAERA
DS	2	Geonosis	4	2	4	Imperial Probe Droid	IMPERIALPROBEDROID
DS	2	Geonosis	4	2	5	First Order Officer	FIRSTORDEROFFICERMALE
DS	2	Geonosis	4	3	1	Executor	CAPITALEXECUTOR
DS	2	Geonosis	4	3	2	TIE/IN Interceptor Prototype	TIEINTERCEPTOR
DS	2	Geonosis	4	3	3	Scythe	SCYTHE
DS	2	Geonosis	4	3	4	Wat Tambor	WATTAMBOR
DS	2	Geonosis	4	3	5	Emperor's Shuttle	EMPERORSSHUTTLE
DS	2	Geonosis	5	1	1	Starkiller	STARKILLER
DS	2	Geonosis	5	1	2	Boba Fett, Scion of Jango	BOBAFETTSCION
DS	2	Geonosis	5	1	3	Emperor Palpatine	EMPERORPALPATINE
DS	2	Geonosis	5	1	4	Colonel Starck	COLONELSTARCK
DS	2	Geonosis	5	1	5	Malevolence	CAPITALMALEVOLENCE
DS	2	Geonosis	5	2	1	Starkiller	STARKILLER
DS	2	Geonosis	5	2	2	Maul	MAULS7
DS	2	Geonosis	5	2	3	Grand Admiral Thrawn	GRANDADMIRALTHRAWN
DS	2	Geonosis	5	2	4	B2 Super Battle Droid	B2SUPERBATTLEDROID
DS	2	Geonosis	5	2	5	Magmatrooper	MAGMATROOPER
DS	2	Geonosis	5	3	1	Sith Eternal Emperor	SITHPALPATINE
DS	2	Geonosis	5	3	2	Darth Malgus	DARTHMALGUS
DS	2	Geonosis	5	3	3	Emperor Palpatine	EMPERORPALPATINE
DS	2	Geonosis	5	3	4	Kylo Ren (Unmasked)	KYLORENUNMASKED
DS	2	Geonosis	5	3	5	Cad Bane	CADBANE
DS	2	Geonosis	6	1	1	Grand Inquisitor	GRANDINQUISITOR
DS	2	Geonosis	6	1	2	Darth Malgus	DARTHMALGUS
DS	2	Geonosis	6	1	3	Scythe	SCYTHE
DS	2	Geonosis	6	1	4	Emperor Palpatine	EMPERORPALPATINE
DS	2	Geonosis	6	1	5	Death Trooper	DEATHTROOPER
DS	2	Geonosis	6	2	1	Darth Malak	DARTHMALAK
DS	2	Geonosis	6	2	2	TIE/IN Interceptor Prototype	TIEINTERCEPTOR
DS	2	Geonosis	6	2	3	Grand Admiral Thrawn	GRANDADMIRALTHRAWN
DS	2	Geonosis	6	2	4	Chimaera	CAPITALCHIMAERA
DS	2	Geonosis	6	2	5	Hyena Bomber	HYENABOMBER
DS	2	Geonosis	6	3	1	Executor	CAPITALEXECUTOR
DS	2	Geonosis	6	3	2	Maul	MAULS7
DS	2	Geonosis	6	3	3	Boba Fett, Scion of Jango	BOBAFETTSCION
DS	2	Geonosis	6	3	4	Darth Revan	DARTHREVAN
DS	2	Geonosis	6	3	5	Kylo Ren's Command Shuttle	COMMANDSHUTTLE
DS	3	Dathomir	1	1	1	TIE/IN Interceptor Prototype	TIEINTERCEPTOR
DS	3	Dathomir	1	1	2	Darth Malgus	DARTHMALGUS
DS	3	Dathomir	1	1	3	General Grievous	GRIEVOUS
DS	3	Dathomir	1	1	4	First Order SF TIE Fighter	TIEFIGHTERFOSF
DS	3	Dathomir	1	1	5	Darth Maul	MAUL
DS	3	Dathomir	1	2	1	Sith Eternal Emperor	SITHPALPATINE
DS	3	Dathomir	1	2	2	Scythe	SCYTHE
DS	3	Dathomir	1	2	3	TIE/IN Interceptor Prototype	TIEINTERCEPTOR
DS	3	Dathomir	1	2	4	Darth Traya	DARTHTRAYA
DS	3	Dathomir	1	2	5	Dengar	DENGAR
DS	3	Dathomir	1	3	1	Lord Vader	LORDVADER
DS	3	Dathomir	1	3	2	Maul	MAULS7
DS	3	Dathomir	1	3	3	Darth Malgus	DARTHMALGUS
DS	3	Dathomir	1	3	4	General Grievous	GRIEVOUS
DS	3	Dathomir	1	3	5	Geonosian Spy's Starfighter	GEONOSIANSTARFIGHTER3
DS	3	Dathomir	2	1	1	TIE/IN Interceptor Prototype	TIEINTERCEPTOR
DS	3	Dathomir	2	1	2	Scythe	SCYTHE
DS	3	Dathomir	2	1	3	Wat Tambor	WATTAMBOR
DS	3	Dathomir	2	1	4	Talia	TALIA
DS	3	Dathomir	2	1	5	Savage Opress	SAVAGEOPRESS
DS	3	Dathomir	2	2	1	Sith Eternal Emperor	SITHPALPATINE
DS	3	Dathomir	2	2	2	Scythe	SCYTHE
DS	3	Dathomir	2	2	3	Boba Fett, Scion of Jango	BOBAFETTSCION
DS	3	Dathomir	2	2	4	General Grievous	GRIEVOUS
DS	3	Dathomir	2	2	5	General Hux	GENERALHUX
DS	3	Dathomir	2	3	1	Lord Vader	LORDVADER
DS	3	Dathomir	2	3	2	Maul	MAULS7
DS	3	Dathomir	2	3	3	TIE/IN Interceptor Prototype	TIEINTERCEPTOR
DS	3	Dathomir	2	3	4	Imperial Probe Droid	IMPERIALPROBEDROID
DS	3	Dathomir	2	3	5	Tusken Raider	TUSKENRAIDER
DS	3	Dathomir	3	1	1	Maul	MAULS7
DS	3	Dathomir	3	1	2	Darth Malgus	DARTHMALGUS
DS	3	Dathomir	3	1	3	Wat Tambor	WATTAMBOR
DS	3	Dathomir	3	1	4	Hyena Bomber	HYENABOMBER
DS	3	Dathomir	3	1	5	HK-47	HK47
DS	3	Dathomir	3	2	1	Sith Eternal Emperor	SITHPALPATINE
DS	3	Dathomir	3	2	2	TIE/IN Interceptor Prototype	TIEINTERCEPTOR
DS	3	Dathomir	3	2	3	Scythe	SCYTHE
DS	3	Dathomir	3	2	4	Wat Tambor	WATTAMBOR
DS	3	Dathomir	3	2	5	Dark Trooper	DARKTROOPER
DS	3	Dathomir	3	3	1	Lord Vader	LORDVADER
DS	3	Dathomir	3	3	2	Maul	MAULS7
DS	3	Dathomir	3	3	3	Scythe	SCYTHE
DS	3	Dathomir	3	3	4	Imperial Probe Droid	IMPERIALPROBEDROID
DS	3	Dathomir	3	3	5	Sith Assassin	SITHASSASSIN
DS	3	Dathomir	4	1	1	Scythe	SCYTHE
DS	3	Dathomir	4	1	2	Maul	MAULS7
DS	3	Dathomir	4	1	3	Darth Revan	DARTHREVAN
DS	3	Dathomir	4	1	4	Dengar	DENGAR
DS	3	Dathomir	4	1	5	Cad Bane	CADBANE
DS	3	Dathomir	4	2	1	Lord Vader	LORDVADER
DS	3	Dathomir	4	2	2	Boba Fett, Scion of Jango	BOBAFETTSCION
DS	3	Dathomir	4	2	3	Darth Malgus	DARTHMALGUS
DS	3	Dathomir	4	2	4	IG-88	IG88
DS	3	Dathomir	4	2	5	Mother Talzin	MOTHERTALZIN
DS	3	Dathomir	4	3	1	Lord Vader	LORDVADER
DS	3	Dathomir	4	3	2	Darth Malgus	DARTHMALGUS
DS	3	Dathomir	4	3	3	Scythe	SCYTHE
DS	3	Dathomir	4	3	4	Sith Trooper	FOSITHTROOPER
DS	3	Dathomir	4	3	5	TIE Advanced x1	TIEADVANCED
DS	3	Dathomir	5	1	1	TIE/IN Interceptor Prototype	TIEINTERCEPTOR
DS	3	Dathomir	5	1	2	Darth Malgus	DARTHMALGUS
DS	3	Dathomir	5	1	3	Grand Admiral Thrawn	GRANDADMIRALTHRAWN
DS	3	Dathomir	5	1	4	Seventh Sister	SEVENTHSISTER
DS	3	Dathomir	5	1	5	First Order SF TIE Pilot	FIRSTORDERSPECIALFORCESPILOT
DS	3	Dathomir	5	2	1	Sith Eternal Emperor	SITHPALPATINE
DS	3	Dathomir	5	2	2	Darth Malgus	DARTHMALGUS
DS	3	Dathomir	5	2	3	TIE/IN Interceptor Prototype	TIEINTERCEPTOR
DS	3	Dathomir	5	2	4	0-0-0	TRIPLEZERO
DS	3	Dathomir	5	2	5	Gar Saxon	GARSAXON
DS	3	Dathomir	5	3	1	Lord Vader	LORDVADER
DS	3	Dathomir	5	3	2	TIE/IN Interceptor Prototype	TIEINTERCEPTOR
DS	3	Dathomir	5	3	3	Scythe	SCYTHE
DS	3	Dathomir	5	3	4	Grand Moff Tarkin	GRANDMOFFTARKIN
DS	3	Dathomir	5	3	5	Emperor's Shuttle	EMPERORSSHUTTLE
DS	3	Dathomir	6	1	1	Boba Fett, Scion of Jango	BOBAFETTSCION
DS	3	Dathomir	6	1	2	Maul	MAULS7
DS	3	Dathomir	6	1	3	Chimaera	CAPITALCHIMAERA
DS	3	Dathomir	6	1	4	Director Krennic	DIRECTORKRENNIC
DS	3	Dathomir	6	1	5	Imperial TIE Fighter	TIEFIGHTERIMPERIAL
DS	3	Dathomir	6	2	1	Supreme Leader Kylo Ren	SUPREMELEADERKYLOREN
DS	3	Dathomir	6	2	2	Darth Malgus	DARTHMALGUS
DS	3	Dathomir	6	2	3	Scythe	SCYTHE
DS	3	Dathomir	6	2	4	Tusken Raider	TUSKENRAIDER
DS	3	Dathomir	6	2	5	Aurra Sing	AURRA_SING
DS	3	Dathomir	6	3	1	Supreme Leader Kylo Ren	SUPREMELEADERKYLOREN
DS	3	Dathomir	6	3	2	Boba Fett, Scion of Jango	BOBAFETTSCION
DS	3	Dathomir	6	3	3	Darth Malgus	DARTHMALGUS
DS	3	Dathomir	6	3	4	Embo	EMBO
DS	3	Dathomir	6	3	5	Geonosian Soldier's Starfighter	GEONOSIANSTARFIGHTER2
DS	4	Haven-class Medical Station	1	1	1	Sith Eternal Emperor	SITHPALPATINE
DS	4	Haven-class Medical Station	1	1	2	Starkiller	STARKILLER
DS	4	Haven-class Medical Station	1	1	3	Scythe	SCYTHE
DS	4	Haven-class Medical Station	1	1	4	Nightsister Spirit	NIGHTSISTERSPIRIT
DS	4	Haven-class Medical Station	1	1	5	Range Trooper	RANGETROOPER
DS	4	Haven-class Medical Station	1	2	1	Lord Vader	LORDVADER
DS	4	Haven-class Medical Station	1	2	2	Starkiller	STARKILLER
DS	4	Haven-class Medical Station	1	2	3	Maul	MAULS7
DS	4	Haven-class Medical Station	1	2	4	Bastila Shan (Fallen)	BASTILASHANDARK
DS	4	Haven-class Medical Station	1	2	5	Darth Vader	VADER
DS	4	Haven-class Medical Station	1	3	1	Executor	CAPITALEXECUTOR
DS	4	Haven-class Medical Station	1	3	2	Darth Malak	DARTHMALAK
DS	4	Haven-class Medical Station	1	3	3	Scythe	SCYTHE
DS	4	Haven-class Medical Station	1	3	4	Embo	EMBO
DS	4	Haven-class Medical Station	1	3	5	BT-1	BT1
DS	4	Haven-class Medical Station	2	1	1	Sith Eternal Emperor	SITHPALPATINE
DS	4	Haven-class Medical Station	2	1	2	Darth Malak	DARTHMALAK
DS	4	Haven-class Medical Station	2	1	3	TIE/IN Interceptor Prototype	TIEINTERCEPTOR
DS	4	Haven-class Medical Station	2	1	4	Iden Versio	IDENVERSIOEMPIRE
DS	4	Haven-class Medical Station	2	1	5	Snowtrooper	SNOWTROOPER
DS	4	Haven-class Medical Station	2	2	1	Sith Eternal Emperor	SITHPALPATINE
DS	4	Haven-class Medical Station	2	2	2	Starkiller	STARKILLER
DS	4	Haven-class Medical Station	2	2	3	TIE/IN Interceptor Prototype	TIEINTERCEPTOR
DS	4	Haven-class Medical Station	2	2	4	Cad Bane	CADBANE
DS	4	Haven-class Medical Station	2	2	5	First Order Stormtrooper	FIRSTORDERTROOPER
DS	4	Haven-class Medical Station	2	3	1	Supreme Leader Kylo Ren	SUPREMELEADERKYLOREN
DS	4	Haven-class Medical Station	2	3	2	Starkiller	STARKILLER
DS	4	Haven-class Medical Station	2	3	3	Boba Fett, Scion of Jango	BOBAFETTSCION
DS	4	Haven-class Medical Station	2	3	4	Nightsister Zombie	NIGHTSISTERZOMBIE
DS	4	Haven-class Medical Station	2	3	5	Aurra Sing	AURRA_SING
DS	4	Haven-class Medical Station	3	1	1	Supreme Leader Kylo Ren	SUPREMELEADERKYLOREN
DS	4	Haven-class Medical Station	3	1	2	Starkiller	STARKILLER
DS	4	Haven-class Medical Station	3	1	3	Darth Malgus	DARTHMALGUS
DS	4	Haven-class Medical Station	3	1	4	Dengar	DENGAR
DS	4	Haven-class Medical Station	3	1	5	Hyena Bomber	HYENABOMBER
DS	4	Haven-class Medical Station	3	2	1	Lord Vader	LORDVADER
DS	4	Haven-class Medical Station	3	2	2	Darth Malak	DARTHMALAK
DS	4	Haven-class Medical Station	3	2	3	Darth Malgus	DARTHMALGUS
DS	4	Haven-class Medical Station	3	2	4	Nightsister Initiate	NIGHTSISTERINITIATE
DS	4	Haven-class Medical Station	3	2	5	Darth Maul	MAUL
DS	4	Haven-class Medical Station	3	3	1	Executor	CAPITALEXECUTOR
DS	4	Haven-class Medical Station	3	3	2	Starkiller	STARKILLER
DS	4	Haven-class Medical Station	3	3	3	TIE/IN Interceptor Prototype	TIEINTERCEPTOR
DS	4	Haven-class Medical Station	3	3	4	TIE Silencer	TIESILENCER
DS	4	Haven-class Medical Station	3	3	5	Snowtrooper	SNOWTROOPER
DS	4	Haven-class Medical Station	4	1	1	Supreme Leader Kylo Ren	SUPREMELEADERKYLOREN
DS	4	Haven-class Medical Station	4	1	2	Boba Fett, Scion of Jango	BOBAFETTSCION
DS	4	Haven-class Medical Station	4	1	3	Director Krennic	DIRECTORKRENNIC
DS	4	Haven-class Medical Station	4	1	4	Eighth Brother	EIGHTHBROTHER
DS	4	Haven-class Medical Station	4	1	5	IG-88	IG88
DS	4	Haven-class Medical Station	4	2	1	Lord Vader	LORDVADER
DS	4	Haven-class Medical Station	4	2	2	Scythe	SCYTHE
DS	4	Haven-class Medical Station	4	2	3	HK-47	HK47
DS	4	Haven-class Medical Station	4	2	4	Nightsister Acolyte	NIGHTSISTERACOLYTE
DS	4	Haven-class Medical Station	4	2	5	Wampa	WAMPA
DS	4	Haven-class Medical Station	4	3	1	Lord Vader	LORDVADER
DS	4	Haven-class Medical Station	4	3	2	Boba Fett, Scion of Jango	BOBAFETTSCION
DS	4	Haven-class Medical Station	4	3	3	Krrsantan	KRRSANTAN
DS	4	Haven-class Medical Station	4	3	4	Asajj Ventress	ASAJVENTRESS
DS	4	Haven-class Medical Station	4	3	5	TIE/IN Interceptor Prototype	TIEINTERCEPTOR
DS	4	Haven-class Medical Station	5	1	1	Executor	CAPITALEXECUTOR
DS	4	Haven-class Medical Station	5	1	2	Maul	MAULS7
DS	4	Haven-class Medical Station	5	1	3	Hyena Bomber	HYENABOMBER
DS	4	Haven-class Medical Station	5	1	4	Asajj Ventress	ASAJVENTRESS
DS	4	Haven-class Medical Station	5	1	5	Savage Opress	SAVAGEOPRESS
DS	4	Haven-class Medical Station	5	2	1	Sith Eternal Emperor	SITHPALPATINE
DS	4	Haven-class Medical Station	5	2	2	TIE/IN Interceptor Prototype	TIEINTERCEPTOR
DS	4	Haven-class Medical Station	5	2	3	Seventh Sister	SEVENTHSISTER
DS	4	Haven-class Medical Station	5	2	4	General Veers	VEERS
DS	4	Haven-class Medical Station	5	2	5	Second Sister	SECONDSISTER
DS	4	Haven-class Medical Station	5	3	1	Supreme Leader Kylo Ren	SUPREMELEADERKYLOREN
DS	4	Haven-class Medical Station	5	3	2	Maul	MAULS7
DS	4	Haven-class Medical Station	5	3	3	Aurra Sing	AURRA_SING
DS	4	Haven-class Medical Station	5	3	4	Mara Jade, The Emperor's Hand	MARAJADE
DS	4	Haven-class Medical Station	5	3	5	Scythe	SCYTHE
DS	4	Haven-class Medical Station	6	1	1	Executor	CAPITALEXECUTOR
DS	4	Haven-class Medical Station	6	1	2	TIE/IN Interceptor Prototype	TIEINTERCEPTOR
DS	4	Haven-class Medical Station	6	1	3	Hondo Ohnaka	HONDO
DS	4	Haven-class Medical Station	6	1	4	Emperor's Shuttle	EMPERORSSHUTTLE
DS	4	Haven-class Medical Station	6	1	5	TIE Fighter Pilot	TIEFIGHTERPILOT
DS	4	Haven-class Medical Station	6	2	1	Lord Vader	LORDVADER
DS	4	Haven-class Medical Station	6	2	2	Scythe	SCYTHE
DS	4	Haven-class Medical Station	6	2	3	B2 Super Battle Droid	B2SUPERBATTLEDROID
DS	4	Haven-class Medical Station	6	2	4	Malevolence	CAPITALMALEVOLENCE
DS	4	Haven-class Medical Station	6	2	5	Emperor's Shuttle	EMPERORSSHUTTLE
DS	4	Haven-class Medical Station	6	3	1	Supreme Leader Kylo Ren	SUPREMELEADERKYLOREN
DS	4	Haven-class Medical Station	6	3	2	TIE/IN Interceptor Prototype	TIEINTERCEPTOR
DS	4	Haven-class Medical Station	6	3	3	First Order TIE Pilot	FIRSTORDERTIEPILOT
DS	4	Haven-class Medical Station	6	3	4	Dathcha	DATHCHA
DS	4	Haven-class Medical Station	6	3	5	Boba Fett, Scion of Jango	BOBAFETTSCION
DS	5	Malachor	1	1	1	Sith Eternal Emperor	SITHPALPATINE
DS	5	Malachor	1	1	2	Darth Malgus	DARTHMALGUS
DS	5	Malachor	1	1	3	Darth Malak	DARTHMALAK
DS	5	Malachor	1	1	4	Boba Fett	BOBAFETT
DS	5	Malachor	1	1	5	Vulture Droid	VULTUREDROID
DS	5	Malachor	1	2	1	Executor	CAPITALEXECUTOR
DS	5	Malachor	1	2	2	Scythe	SCYTHE
DS	5	Malachor	1	2	3	Starkiller	STARKILLER
DS	5	Malachor	1	2	4	Sith Empire Trooper	SITHTROOPER
DS	5	Malachor	1	2	5	Sith Assassin	SITHASSASSIN
DS	5	Malachor	1	3	1	Executor	CAPITALEXECUTOR
DS	5	Malachor	1	3	2	Boba Fett, Scion of Jango	BOBAFETTSCION
DS	5	Malachor	1	3	3	Grand Inquisitor	GRANDINQUISITOR
DS	5	Malachor	1	3	4	First Order SF TIE Pilot	FIRSTORDERSPECIALFORCESPILOT
